workplace_id,industry,region,n_workers,month,payment_date,payment_delay_days,contracted_wage,actual_wage,deduction_amount,overtime_hours,actual_overtime_pay,expected_overtime_pay,is_exploited,exploitation_type
0,서비스업,경남,9,0,2022-01-07,6,3000000,2990250,179992,38,811513,818182,1,payment_delay
0,서비스업,경남,9,1,2022-02-12,12,3000000,2935716,345267,35,686732,753589,1,payment_delay
0,서비스업,경남,9,2,2022-03-19,17,3000000,2948221,204547,29,584865,624402,1,payment_delay
0,서비스업,경남,9,3,2022-04-23,22,3000000,2911272,156919,21,454393,452153,1,payment_delay
0,서비스업,경남,9,4,2022-05-26,25,3000000,3085276,219831,27,533740,581340,1,payment_delay
0,서비스업,경남,9,5,2022-06-29,29,3000000,3002562,327724,43,841855,925837,1,payment_delay
0,서비스업,경남,9,6,2022-07-30,30,3000000,2940694,169515,6,140785,129187,1,payment_delay
0,서비스업,경남,9,7,2022-08-29,30,3000000,3055512,241384,13,257382,279904,1,payment_delay
0,서비스업,경남,9,8,2022-09-28,30,3000000,2989227,186611,27,580779,581340,1,payment_delay
0,서비스업,경남,9,9,2022-10-28,30,3000000,2980391,204671,13,294200,279904,1,payment_delay
0,서비스업,경남,9,10,2022-11-27,30,3000000,2943274,440875,3,68148,64593,1,payment_delay
0,서비스업,경남,9,11,2022-12-27,30,3000000,3071069,329370,9,210130,193780,1,payment_delay
0,서비스업,경남,9,12,2023-01-26,30,3000000,3062016,374196,39,846379,839713,1,payment_delay
0,서비스업,경남,9,13,2023-02-25,30,3000000,2960568,312809,24,479636,516746,1,payment_delay
0,서비스업,경남,9,14,2023-03-27,30,3000000,2912815,277020,0,0,0,1,payment_delay
0,서비스업,경남,9,15,2023-04-26,30,3000000,3037234,368702,50,1134963,1076555,1,payment_delay
0,서비스업,경남,9,16,2023-05-26,30,3000000,2974524,184761,41,946883,882775,1,payment_delay
0,서비스업,경남,9,17,2023-06-25,30,3000000,2927174,261245,33,734520,710526,1,payment_delay
0,서비스업,경남,9,18,2023-07-25,30,3000000,3016434,232417,34,741024,732057,1,payment_delay
0,서비스업,경남,9,19,2023-08-24,30,3000000,3084908,404674,36,809493,775120,1,payment_delay
1,제조업,충남,16,0,2022-01-04,3,3000000,2946309,418729,12,257100,258373,1,payment_delay
1,제조업,충남,16,1,2022-02-09,9,3000000,3035193,191799,31,681403,667464,1,payment_delay
1,제조업,충남,16,2,2022-03-15,13,3000000,2951184,173094,28,577520,602871,1,payment_delay
1,제조업,충남,16,3,2022-04-19,18,3000000,3022384,238690,1,19832,21531,1,payment_delay
1,제조업,충남,16,4,2022-05-24,23,3000000,2949319,274953,27,625903,581340,1,payment_delay
1,제조업,충남,16,5,2022-06-26,26,3000000,2974134,422049,27,554846,581340,1,payment_delay
1,제조업,충남,16,6,2022-07-30,30,3000000,2973462,241434,51,1024439,1098086,1,payment_delay
1,제조업,충남,16,7,2022-08-29,30,3000000,2997269,357731,8,164305,172249,1,payment_delay
1,제조업,충남,16,8,2022-09-28,30,3000000,3003382,360906,31,649260,667464,1,payment_delay
1,제조업,충남,16,9,2022-10-28,30,3000000,2954438,358891,51,1144704,1098086,1,payment_delay
1,제조업,충남,16,10,2022-11-27,30,3000000,3089593,230034,48,1132008,1033493,1,payment_delay
1,제조업,충남,16,11,2022-12-27,30,3000000,2960156,422480,22,449011,473684,1,payment_delay
2,서비스업,인천,4,0,2022-01-02,1,2500000,2480448,746080,10,190304,179426,1,excessive_deduction
2,서비스업,인천,4,1,2022-02-02,2,2500000,2572513,824412,51,972983,915072,1,excessive_deduction
2,서비스업,인천,4,2,2022-02-28,-2,2500000,2473117,718259,8,130357,143541,1,excessive_deduction
2,서비스업,인천,4,3,2022-04-02,1,2500000,2427488,881047,35,593639,627990,1,excessive_deduction
2,서비스업,인천,4,4,2022-05-02,1,2500000,2528641,818368,40,780392,717703,1,excessive_deduction
2,서비스업,인천,4,5,2022-05-29,-2,2500000,2476160,681737,10,194666,179426,1,excessive_deduction
2,서비스업,인천,4,6,2022-06-29,-1,2500000,2459283,712477,34,668877,610048,1,excessive_deduction
2,서비스업,인천,4,7,2022-07-31,1,2500000,2461278,671551,48,929664,861244,1,excessive_deduction
2,서비스업,인천,4,8,2022-08-31,2,2500000,2519965,794515,31,539446,556220,1,excessive_deduction
2,서비스업,인천,4,9,2022-09-28,0,2500000,2558063,1014938,19,350593,340909,1,excessive_deduction
2,서비스업,인천,4,10,2022-10-28,0,2500000,2449244,1074277,48,879576,861244,1,excessive_deduction
2,서비스업,인천,4,11,2022-11-27,0,2500000,2440221,956751,47,759825,843301,1,excessive_deduction
2,서비스업,인천,4,12,2022-12-26,-1,2500000,2528784,950981,1,16953,17943,1,excessive_deduction
2,서비스업,인천,4,13,2023-01-24,-2,2500000,2460587,787700,3,56481,53828,1,excessive_deduction
2,서비스업,인천,4,14,2023-02-25,0,2500000,2471209,896270,16,287587,287081,1,excessive_deduction
2,서비스업,인천,4,15,2023-03-29,2,2500000,2558807,940569,50,950026,897129,1,excessive_deduction
2,서비스업,인천,4,16,2023-04-24,-2,2500000,2525339,1057084,27,458307,484450,1,excessive_deduction
3,서비스업,경기,18,0,2021-12-30,-2,3000000,2700000,432138,43,1009890,925837,1,wage_cut
3,서비스업,경기,18,1,2022-02-02,2,3000000,2640000,261048,5,97223,107656,1,wage_cut
3,서비스업,경기,18,2,2022-03-04,2,3000000,2580000,315829,48,1048436,1033493,1,wage_cut
3,서비스업,경기,18,3,2022-04-02,1,3000000,2520000,172604,32,662220,688995,1,wage_cut
