시도,업종대분류,사업장수,가입자수,고지금액,신규취득,상실,영세비중,인당보험료,이직률,평균규모,위험점수,체불_전체,체불_2025이후
세종,건설업,605,5073,1887768080,903,406,0.46115702479338844,372120.6544451015,0.12901636112753795,8.38512396694215,1.7248876707527303,0,0
제주,건설업,1555,9783,2889613860,1039,612,0.5369774919614148,295370.9352959215,0.08438106920167637,6.291318327974277,1.6509937903900804,7,0
강원,건설업,4001,27894,9014493200,3435,1711,0.46213446638340416,323169.6135369614,0.09224205922420592,6.9717570607348165,1.4059609222511094,6,3
충북,건설업,3980,33723,11536478320,4840,2128,0.4334170854271357,342095.2560566972,0.10331227945319219,8.473115577889446,1.3971016006323016,5,1
전북,건설업,4175,28909,8706803880,3035,1644,0.4531736526946108,301179.6976720053,0.08092635511432426,6.924311377245509,1.3287244092835886,8,0
인천,건설업,3688,38032,14573947640,6161,2326,0.41567245119305857,383202.241270509,0.1115770929743374,10.31236442516269,1.277863153373026,20,7
전남,농림어업,453,3427,866101780,204,164,0.46578366445916114,252728.85322439452,0.053691275167785234,7.565121412803532,1.2488223597356387,1,0
충남,건설업,5000,44674,16086499060,6119,2794,0.4276,360086.38268344005,0.09975601020727941,8.9348,1.2372099070851852,14,4
충북,숙박음식점업,293,3141,841082560,284,244,0.32081911262798635,267775.4091053805,0.08404966571155682,10.720136518771332,1.2088180721128163,1,0
부산,건설업,3693,32277,11412926040,4167,1869,0.4394800974817222,353593.14806208754,0.09350311367227437,8.740048740861088,1.205853408748611,14,2
경기,건설업,18854,222935,85522473200,36133,11397,0.41550864538029064,383620.6661134411,0.10660057864399937,11.824281319613876,1.1989086195385192,81,24
대구,숙박음식점업,533,5752,1388926580,430,452,0.26454033771106944,241468.45966620307,0.07666898470097358,10.791744840525329,1.1163488515149103,2,0
경북,농림어업,446,3099,788562240,163,116,0.4641255605381166,254456.9990319458,0.04501452081316554,6.948430493273543,1.098796221010842,0,0
충남,숙박음식점업,384,4277,1123361120,353,275,0.3203125,262651.65302782325,0.07341594575637128,11.138020833333334,1.077188087220331,3,1
울산,건설업,2196,34130,14630454880,6160,2281,0.34562841530054644,428668.4699677703,0.12365953706416642,15.541894353369763,1.072862218192349,8,1
경남,건설업,5123,42541,14488702620,3809,2187,0.4950224477845013,340582.0883383089,0.07047319056909805,8.30392348233457,1.072296116595659,8,2
