시도,시군구,업종대분류,사업장수,가입자수,고지금액,신규취득,상실,영세비중,인당보험료,이직률,평균규모,신호_저임금,신호_이직률,신호_영세성,위험점수,위험백분위,체불_전체,체불_2025이후
경북,칠곡군,운수창고업,45,2933,515163660,759,691,0.26666666666666666,175643.9345380157,0.24718718036140472,65.17777777777778,3.154,7.875,-0.246,3.5941,100.0,0,0
인천,옹진군,건설업,98,1364,545793520,425,296,0.46938775510204084,400141.8768328446,0.26429618768328444,13.918367346938776,-1.185,8.525,1.281,2.8735,99.9,1,0
경기,부천시,운수창고업,97,5956,1188113800,1071,1181,0.36082474226804123,199481.83344526528,0.1890530557421088,61.402061855670105,2.483,5.667,0.463,2.8709,99.9,1,1
경기,안성시,운수창고업,102,3500,824858840,676,649,0.4215686274509804,235673.95428571428,0.18928571428571428,34.31372549019608,1.604,5.675,0.92,2.7335,99.8,0,0
경남,하동군,건설업,140,1007,304267240,232,175,0.45714285714285713,302152.17477656406,0.20208540218470705,7.192857142857143,0.295,6.162,1.188,2.5484,99.8,0,0
경기,고양시,운수창고업,244,6300,1522205980,903,846,0.45491803278688525,241619.9968253968,0.1388095238095238,25.81967213114754,1.473,3.758,1.172,2.1343,99.7,0,0
인천,서구,운수창고업,210,11370,2630214300,1860,1609,0.3380952380952381,231329.31398416887,0.15255057167985928,54.142857142857146,1.702,4.28,0.292,2.0914,99.7,0,0
경기,동두천시,건설업,91,543,181508460,132,31,0.5824175824175825,334269.72375690605,0.15009208103130756,5.967032967032967,-0.237,4.187,2.132,2.0271,99.6,3,0
제주,서귀포시,건설업,387,2137,569023880,259,201,0.5736434108527132,266272.2882545625,0.10762751520823584,5.521963824289406,0.961,2.574,2.066,1.8668,99.6,1,0
서울,종로구,숙박음식점업,439,11082,2168958000,1309,1109,0.3325740318906606,195719.00378992961,0.10909583107742285,25.24373576309795,2.583,2.629,0.25,1.8209,99.5,1,0
인천,미추홀구,도소매업,286,7827,1548553360,618,796,0.4090909090909091,197847.62488820747,0.09032835058132106,27.367132867132867,2.526,1.916,0.826,1.7564,99.5,0,0
대구,군위군,건설업,96,571,159105760,93,39,0.5208333333333334,278644.0630472855,0.11558669001751314,5.947916666666667,0.722,2.876,1.668,1.7553,99.4,0,0
충북,단양군,건설업,124,632,168604640,91,33,0.5725806451612904,266779.4936708861,0.0981012658227848,5.096774193548387,0.951,2.212,2.058,1.7402,99.4,1,0
