스냅샷,시도,시군구,업종대분류,가입자수,위험점수,위험백분위,이직률,인당보험료
2026-05,강원,강릉시,건설업,3802,0.9882,93.5,0.09521304576538664,328394.54497632827
2026-05,강원,강릉시,금융보험업,962,-1.3347,3.4,0.012474012474012475,418871.8295218295
2026-05,강원,강릉시,기타,4269,0.2146,61.5,0.02635277582572031,248283.7947997189
2026-05,강원,강릉시,도소매업,2432,0.509,79.9,0.04893092105263158,285607.3355263158
2026-05,강원,강릉시,보건사회복지,3324,-1.2694,4.3,0.024368231046931407,383766.92539109505
2026-05,강원,강릉시,부동산업,2885,-0.0382,44.3,0.021837088388214906,283943.5493934142
2026-05,강원,강릉시,숙박음식점업,801,0.5099,80.0,0.08302122347066167,271913.55805243447
2026-05,강원,강릉시,운수창고업,773,-0.0136,45.9,0.027166882276843468,319145.9767141009
2026-05,강원,강릉시,전문과학기술,3049,0.0041,47.0,0.04968842243358478,332275.6772712365
2026-05,강원,강릉시,제조업,3270,-0.0459,43.5,0.04327217125382263,322073.2599388379
2026-05,강원,강릉시,협회수리개인,648,0.0654,50.7,0.031635802469135804,321903.39506172837
2026-05,강원,고성군,건설업,863,1.4816,98.6,0.11413673232908458,317723.29084588645
2026-05,강원,고성군,기타,663,0.5263,81.0,0.03092006033182504,239399.09502262445
2026-05,강원,고성군,부동산업,510,0.1526,57.3,0.03725490196078431,301782.6274509804
2026-05,강원,고성군,숙박음식점업,966,-0.7899,13.4,0.031055900621118012,306495.50724637683
2026-05,강원,동해시,건설업,1553,0.8434,89.7,0.08435286542176433,342348.30650354153
2026-05,강원,동해시,기타,1410,0.499,79.4,0.027304964539007093,223711.85815602838
2026-05,강원,동해시,도소매업,821,0.4426,76.5,0.031059683313032885,297705.4323995128
2026-05,강원,동해시,보건사회복지,811,-0.9641,8.7,0.028976572133168926,333421.2330456227
2026-05,강원,동해시,부동산업,862,0.1503,57.1,0.0191415313225058,277803.94431554526
2026-05,강원,동해시,운수창고업,586,-0.684,17.4,0.02218430034129693,373365.4266211604
2026-05,강원,동해시,제조업,1239,-0.5457,21.6,0.048426150121065374,418663.7933817595
2026-05,강원,삼척시,건설업,1647,1.5689,98.8,0.12507589556769885,336813.8676381299
2026-05,강원,삼척시,기타,1522,0.1658,58.2,0.026609724047306178,270677.8318002628
2026-05,강원,삼척시,보건사회복지,537,-1.131,5.7,0.020484171322160148,344877.09497206705
2026-05,강원,삼척시,부동산업,1212,-0.0731,42.3,0.011963696369636964,282317.4422442244
2026-05,강원,삼척시,전문과학기술,662,-0.0857,41.4,0.04909365558912387,338971.17824773415
2026-05,강원,속초시,건설업,916,1.5148,98.6,0.13919213973799127,347725.76419213973
2026-05,강원,속초시,기타,1734,0.2254,62.4,0.021337946943483274,245573.37946943485
2026-05,강원,속초시,도소매업,912,0.3325,70.3,0.030153508771929825,312081.8640350877
2026-05,강원,속초시,보건사회복지,550,-1.0536,7.0,0.019090909090909092,326710.94545454544
2026-05,강원,속초시,부동산업,753,0.7817,87.6,0.05179282868525897,264600.1859229748
2026-05,강원,속초시,숙박음식점업,654,0.0914,52.6,0.04892966360856269,286118.8990825688
2026-05,강원,속초시,제조업,555,0.1595,57.7,0.043243243243243246,274327.74774774775
2026-05,강원,속초시,협회수리개인,507,-0.2796,31.5,0.048323471400394474,325331.16370808677
2026-05,강원,양구군,건설업,545,1.1313,95.6,0.07706422018348624,301306.34862385324
2026-05,강원,양양군,건설업,903,0.7762,87.6,0.09136212624584718,349382.3920265781
2026-05,강원,양양군,기타,543,0.1719,58.5,0.010128913443830571,251707.47697974218
2026-05,강원,영월군,건설업,940,0.5203,80.7,0.0627659574468085,322921.5106382979
2026-05,강원,영월군,기타,875,0.3755,73.1,0.024,266569.3028571429
2026-05,강원,영월군,제조업,676,-0.173,35.9,0.029585798816568046,315761.9526627219
2026-05,강원,원주시,건설업,5232,0.8355,89.5,0.08362003058103976,337933.68119266053
2026-05,강원,원주시,금융보험업,16530,-1.4929,2.0,0.009134906231094978,455123.92014519055
2026-05,강원,원주시,기타,6729,0.1779,59.1,0.029870708872046365,246090.48001188884
